pygame 2.0.1 (SDL 2.0.14, Python 3.8.5)
/diag/3/value/tick-time : (0.49450549483299255,)
/channel/3/profiler/time : (0.032999999821186066, 0.03336666524410248)
/channel/3/format : ('NTSC',)
/channel/3/timecode/source : ('free',)
/channel/3/timecode : ('02:50:23:17',)
/diag/3/value/produce-time : (0.0,)
/channel/3/stage/profiler/time : (0.0, 0.03336666524410248)
/channel/3/mixer/audio/nb_channels : ()
/channel/3/mixer/audio/1/pFS : (0.0,)
/diag/3/value/volume : (0.0,)
/channel/3/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/3/mixer/audio/2/pFS : (0.0,)
/channel/3/mixer/audio/2/dBFS : (-192.65921020507812,)
/diag/3/value/mix-time : (0.0,)
/channel/3/output/port/500/type : ('system-audio',)
/channel/3/output/port/600/type : ('screen',)
/diag/7/value/tick-time : (0.49450549483299255,)
/diag/5/value/buffered-video : (1.0,)
/diag/5/value/tick-time : (0.49450549483299255,)
/diag/5/value/buffered-audio : (0.7977527976036072,)
/channel/2/output/consume_time : (0.032999999821186066,)
/diag/2/value/consume-time : (0.49450549483299255,)
/channel/2/output/profiler/time : (0.032999999821186066, 0.03336666524410248)
/diag/2/value/tick-time : (0.49450549483299255,)
/channel/2/profiler/time : (0.032999999821186066, 0.03336666524410248)
/channel/2/format : ('1080i5994',)
/channel/2/timecode : ('02:50:23:17',)
/channel/2/timecode/source : ('free',)
/channel/2/stage/layer/0/paused : (False,)
/channel/2/stage/layer/0/profiler/time : (0.0, 0.03336666524410248)
/channel/2/stage/layer/0/transform/tween/duration : ()
/channel/2/stage/layer/0/transform/tween/remaining : ()
/channel/2/stage/layer/0/transform/video/opacity : (1.0,)
/channel/2/stage/layer/0/transform/audio/volume : (1.0,)
/channel/2/stage/layer/0/transform/video/contrast : (1.0,)
/channel/2/stage/layer/0/transform/video/brightness : (1.0,)
/channel/2/stage/layer/0/transform/video/saturation : (1.0,)
/channel/2/stage/profiler/time : (0.0010000000474974513, 0.03336666524410248)
/diag/2/value/produce-time : (0.01498501468449831,)
/channel/2/mixer/audio/nb_channels : ()
/channel/2/mixer/audio/1/pFS : (0.0,)
/channel/2/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/2/pFS : (0.0,)
/channel/2/mixer/audio/2/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/3/pFS : (0.0,)
/channel/2/mixer/audio/3/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/4/pFS : (0.0,)
/channel/2/mixer/audio/4/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/5/pFS : (0.0,)
/channel/2/mixer/audio/7/pFS : (0.0,)
/channel/2/mixer/audio/5/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/6/pFS : (0.0,)
/channel/2/mixer/audio/6/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/7/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/8/pFS : (0.0,)
/channel/2/mixer/audio/8/dBFS : (-192.65921020507812,)
/diag/2/value/volume : (0.0,)
/diag/2/value/mix-time : (0.0,)
/channel/2/output/port/304/type : ('decklink',)
/diag/6/value/tick-time : (0.49450549483299255,)
/diag/4/value/tick-time : (0.5094904899597168,)
/diag/4/value/buffered-video : (1.0,)
/diag/4/value/buffered-audio : (0.797253429889679,)
/diag/1/value/consume-time : (0.4795204699039459,)
/channel/1/output/consume_time : (0.03200000151991844,)
/channel/1/output/profiler/time : (0.03200000151991844, 0.03336666524410248)
/diag/1/value/tick-time : (0.5094904899597168,)
/channel/1/format : ('1080i5994',)
/channel/1/profiler/time : (0.03400000184774399, 0.03336666524410248)
/channel/1/timecode : ('02:50:23:17',)
/channel/1/timecode/source : ('free',)
/channel/1/stage/layer/1/paused : (True,)
/channel/1/stage/layer/1/profiler/time : (0.0, 0.03336666524410248)
/channel/1/stage/layer/1/transform/tween/duration : ()
/channel/1/stage/layer/1/transform/tween/remaining : ()
/channel/1/stage/layer/1/transform/video/opacity : (1.0,)
/channel/1/stage/layer/1/transform/audio/volume : (1.0,)
/channel/1/stage/layer/1/transform/video/contrast : (1.0,)
/channel/1/stage/layer/1/transform/video/brightness : (1.0,)
/channel/1/stage/layer/1/transform/video/saturation : (1.0,)
/diag/1/value/produce-time : (0.0,)
/channel/1/stage/profiler/time : (0.0, 0.03336666524410248)
/channel/1/mixer/audio/nb_channels : ()
/channel/1/mixer/audio/1/pFS : (0.0,)
/channel/1/mixer/audio/5/pFS : (0.0,)
/channel/1/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/4/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/2/pFS : (0.0,)
/channel/1/mixer/audio/2/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/3/pFS : (0.0,)
/channel/1/mixer/audio/3/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/4/pFS : (0.0,)
/channel/1/mixer/audio/5/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/8/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/6/pFS : (0.0,)
/channel/1/mixer/audio/6/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/7/pFS : (0.0,)
/channel/1/mixer/audio/7/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/8/pFS : (0.0,)
/diag/1/value/volume : (0.0,)
/diag/1/value/mix-time : (0.01498501468449831,)
/channel/1/output/port/305/type : ('decklink',)
/diag/6/value/frame-time : (0.05994005873799324,)
/diag/3/value/consume-time : (0.49450549483299255,)
/channel/3/output/consume_time : (0.032999999821186066,)
/channel/3/output/profiler/time : (0.032999999821186066, 0.03336666524410248)
/diag/3/value/tick-time : (0.49450549483299255,)
/channel/3/profiler/time : (0.032999999821186066, 0.03336666524410248)
/channel/3/format : ('NTSC',)
/channel/3/timecode/source : ('free',)
/channel/3/timecode : ('02:50:23:18',)
/diag/3/value/produce-time : (0.0,)
/channel/3/stage/profiler/time : (0.0, 0.03336666524410248)
/channel/3/mixer/audio/nb_channels : ()
/channel/3/mixer/audio/1/pFS : (0.0,)
/diag/3/value/volume : (0.0,)
/channel/3/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/3/mixer/audio/2/pFS : (0.0,)
/channel/3/mixer/audio/2/dBFS : (-192.65921020507812,)
/diag/3/value/mix-time : (0.01498501468449831,)
/channel/3/output/port/500/type : ('system-audio',)
/channel/3/output/port/600/type : ('screen',)
/diag/7/value/tick-time : (0.49450549483299255,)
/diag/5/value/buffered-video : (1.0,)
/diag/5/value/tick-time : (0.5094904899597168,)
/diag/5/value/buffered-audio : (0.7976279854774475,)
/channel/2/output/consume_time : (0.032999999821186066,)
/diag/2/value/consume-time : (0.49450549483299255,)
/channel/2/output/profiler/time : (0.032999999821186066, 0.03336666524410248)
/diag/2/value/tick-time : (0.5094904899597168,)
/channel/2/profiler/time : (0.03400000184774399, 0.03336666524410248)
/channel/2/format : ('1080i5994',)
/channel/2/timecode : ('02:50:23:18',)
/channel/2/timecode/source : ('free',)
/channel/2/stage/layer/0/paused : (False,)
/channel/2/stage/layer/0/profiler/time : (0.0, 0.03336666524410248)
/channel/2/stage/layer/0/transform/tween/duration : ()
/channel/2/stage/layer/0/transform/tween/remaining : ()
/channel/2/stage/layer/0/transform/video/opacity : (1.0,)
/channel/2/stage/layer/0/transform/audio/volume : (1.0,)
/channel/2/stage/layer/0/transform/video/contrast : (1.0,)
/channel/2/stage/layer/0/transform/video/brightness : (1.0,)
/channel/2/stage/layer/0/transform/video/saturation : (1.0,)
/channel/2/stage/profiler/time : (0.0, 0.03336666524410248)
/diag/2/value/produce-time : (0.0,)
/channel/2/mixer/audio/nb_channels : ()
/channel/2/mixer/audio/1/pFS : (0.0,)
/channel/2/mixer/audio/3/pFS : (0.0,)
/channel/2/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/2/pFS : (0.0,)
/channel/2/mixer/audio/6/pFS : (0.0,)
/channel/2/mixer/audio/2/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/3/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/8/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/4/pFS : (0.0,)
/channel/2/mixer/audio/4/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/5/pFS : (0.0,)
/channel/2/mixer/audio/5/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/6/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/7/pFS : (0.0,)
/channel/2/mixer/audio/7/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/8/pFS : (0.0,)
/diag/2/value/volume : (0.0,)
/diag/2/value/mix-time : (0.0,)
/channel/2/output/port/304/type : ('decklink',)
/diag/6/color/frame-time : ()
/diag/6/context/channel : ()
/diag/6/value/tick-time : (0.5094904899597168,)
/diag/6/text : ('Screen consumer [3|NTSC]',)
/diag/6/color/tick-time : ()
/diag/6/color/dropped-frame : ()
/diag/4/value/tick-time : (0.49450549483299255,)
/diag/4/value/buffered-video : (1.0,)
/diag/4/value/buffered-audio : (0.7961298227310181,)
/diag/1/value/consume-time : (0.4795204699039459,)
/channel/1/output/consume_time : (0.03200000151991844,)
/channel/1/output/profiler/time : (0.03200000151991844, 0.03336666524410248)
/diag/1/value/tick-time : (0.49450549483299255,)
/channel/1/format : ('1080i5994',)
/channel/1/profiler/time : (0.032999999821186066, 0.03336666524410248)
/channel/1/timecode/source : ('free',)
/channel/1/timecode : ('02:50:23:18',)
/channel/1/stage/layer/1/paused : (True,)
/channel/1/stage/layer/1/transform/video/brightness : (1.0,)
/channel/1/stage/layer/1/transform/video/saturation : (1.0,)
/channel/1/stage/layer/1/transform/tween/duration : ()
/channel/1/stage/layer/1/profiler/time : (0.0, 0.03336666524410248)
/channel/1/stage/layer/1/transform/tween/remaining : ()
/channel/1/stage/layer/1/transform/video/opacity : (1.0,)
/channel/1/stage/layer/1/transform/audio/volume : (1.0,)
/channel/1/stage/layer/1/transform/video/contrast : (1.0,)
/diag/1/value/produce-time : (0.0,)
/channel/1/stage/profiler/time : (0.0, 0.03336666524410248)
/channel/1/mixer/audio/3/pFS : (0.0,)
/channel/1/mixer/audio/nb_channels : ()
/channel/1/mixer/audio/1/pFS : (0.0,)
/channel/1/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/4/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/2/pFS : (0.0,)
/channel/1/mixer/audio/2/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/3/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/6/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/4/pFS : (0.0,)
/channel/1/mixer/audio/5/pFS : (0.0,)
/channel/1/mixer/audio/5/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/6/pFS : (0.0,)
/channel/1/mixer/audio/7/pFS : (0.0,)
/channel/1/mixer/audio/7/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/8/pFS : (0.0,)
/channel/1/mixer/audio/8/dBFS : (-192.65921020507812,)
/diag/1/value/volume : (0.0,)
/diag/1/value/mix-time : (0.0,)
/channel/1/output/port/305/type : ('decklink',)
/diag/6/value/frame-time : (0.044955044984817505,)
/diag/3/value/consume-time : (0.49450549483299255,)
/channel/3/output/consume_time : (0.032999999821186066,)
/channel/3/output/profiler/time : (0.032999999821186066, 0.03336666524410248)
/diag/3/value/tick-time : (0.5094904899597168,)
/channel/3/profiler/time : (0.03400000184774399, 0.03336666524410248)
/channel/3/format : ('NTSC',)
/channel/3/timecode/source : ('free',)
/channel/3/timecode : ('02:50:23:19',)
/diag/3/value/produce-time : (0.0,)
/channel/3/stage/profiler/time : (0.0, 0.03336666524410248)
/channel/3/mixer/audio/nb_channels : ()
/channel/3/mixer/audio/1/pFS : (0.0,)
/diag/3/value/volume : (0.0,)
/channel/3/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/3/mixer/audio/2/pFS : (0.0,)
/channel/3/mixer/audio/2/dBFS : (-192.65921020507812,)
/diag/3/value/mix-time : (0.0,)
/channel/3/output/port/500/type : ('system-audio',)
/channel/3/output/port/600/type : ('screen',)
/diag/7/value/tick-time : (0.5094904899597168,)
/diag/5/value/buffered-video : (1.0,)
/diag/5/value/tick-time : (0.49450549483299255,)
/diag/5/value/buffered-audio : (0.798626720905304,)
/diag/2/value/consume-time : (0.49450549483299255,)
/channel/2/output/consume_time : (0.032999999821186066,)
/channel/2/output/profiler/time : (0.032999999821186066, 0.03336666524410248)
/diag/2/value/tick-time : (0.49450549483299255,)
/channel/2/profiler/time : (0.032999999821186066, 0.03336666524410248)
/channel/2/format : ('1080i5994',)
/channel/2/timecode : ('02:50:23:19',)
/channel/2/timecode/source : ('free',)
/channel/2/stage/layer/0/paused : (False,)
/channel/2/stage/layer/0/profiler/time : (0.0, 0.03336666524410248)
/channel/2/stage/layer/0/transform/tween/duration : ()
/channel/2/stage/layer/0/transform/video/saturation : (1.0,)
/channel/2/stage/layer/0/transform/tween/remaining : ()
/channel/2/stage/layer/0/transform/video/opacity : (1.0,)
/channel/2/stage/layer/0/transform/audio/volume : (1.0,)
/channel/2/stage/layer/0/transform/video/contrast : (1.0,)
/channel/2/stage/layer/0/transform/video/brightness : (1.0,)
/diag/2/value/produce-time : (0.0,)
/channel/2/stage/profiler/time : (0.0, 0.03336666524410248)
/channel/2/mixer/audio/nb_channels : ()
/channel/2/mixer/audio/1/pFS : (0.0,)
/channel/2/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/2/pFS : (0.0,)
/channel/2/mixer/audio/2/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/6/pFS : (0.0,)
/channel/2/mixer/audio/3/pFS : (0.0,)
/channel/2/mixer/audio/5/pFS : (0.0,)
/channel/2/mixer/audio/3/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/4/pFS : (0.0,)
/channel/2/mixer/audio/4/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/5/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/6/dBFS : (-192.65921020507812,)
/diag/2/value/volume : (0.0,)
/channel/2/mixer/audio/7/pFS : (0.0,)
/channel/2/mixer/audio/7/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/8/pFS : (0.0,)
/channel/2/mixer/audio/8/dBFS : (-192.65921020507812,)
/diag/2/value/mix-time : (0.0,)
/channel/2/output/port/304/type : ('decklink',)
/diag/6/value/tick-time : (0.49450549483299255,)
/diag/4/value/tick-time : (0.49450549483299255,)
/diag/4/value/buffered-video : (1.0,)
/diag/4/value/buffered-audio : (0.7982521653175354,)
/diag/1/value/consume-time : (0.4795204699039459,)
/channel/1/output/consume_time : (0.03200000151991844,)
/channel/1/output/profiler/time : (0.03200000151991844, 0.03336666524410248)
/diag/1/value/tick-time : (0.4795204699039459,)
/channel/1/format : ('1080i5994',)
/channel/1/profiler/time : (0.03200000151991844, 0.03336666524410248)
/channel/1/timecode/source : ('free',)
/channel/1/timecode : ('02:50:23:19',)
/channel/1/stage/layer/1/paused : (True,)
/channel/1/stage/layer/1/profiler/time : (0.0, 0.03336666524410248)
/channel/1/stage/layer/1/transform/tween/duration : ()
/channel/1/stage/layer/1/transform/tween/remaining : ()
/channel/1/stage/layer/1/transform/audio/volume : (1.0,)
/channel/1/stage/layer/1/transform/video/opacity : (1.0,)
/channel/1/stage/layer/1/transform/video/contrast : (1.0,)
/channel/1/stage/layer/1/transform/video/brightness : (1.0,)
/channel/1/stage/layer/1/transform/video/saturation : (1.0,)
/diag/1/value/produce-time : (0.01498501468449831,)
/channel/1/stage/profiler/time : (0.0010000000474974513, 0.03336666524410248)
/channel/1/mixer/audio/3/pFS : (0.0,)
/channel/1/mixer/audio/nb_channels : ()
/channel/1/mixer/audio/1/pFS : (0.0,)
/channel/1/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/4/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/2/pFS : (0.0,)
/channel/1/mixer/audio/2/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/3/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/6/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/4/pFS : (0.0,)
/channel/1/mixer/audio/5/pFS : (0.0,)
/channel/1/mixer/audio/5/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/6/pFS : (0.0,)
/channel/1/mixer/audio/7/pFS : (0.0,)
/channel/1/mixer/audio/7/dBFS : (-192.65921020507812,)
/channel/1/mixer/audio/8/pFS : (0.0,)
/channel/1/mixer/audio/8/dBFS : (-192.65921020507812,)
/diag/1/value/volume : (0.0,)
/diag/1/value/mix-time : (0.0,)
/channel/1/output/port/305/type : ('decklink',)
/diag/6/value/frame-time : (0.044955044984817505,)
/diag/3/value/consume-time : (0.49450549483299255,)
/diag/3/context/channel : ()
/diag/3/text : ('video_channel[3|NTSC]',)
/diag/3/color/consume-time : ()
/diag/3/color/mix-time : ()
/diag/3/color/skipped-schedule : ()
/diag/3/color/volume : ()
/diag/3/color/produce-time : ()
/diag/3/color/tick-time : ()
/diag/3/color/audio-clipping : ()
/channel/3/output/consume_time : (0.032999999821186066,)
/channel/3/output/profiler/time : (0.032999999821186066, 0.03336666524410248)
/diag/3/value/tick-time : (0.49450549483299255,)
/channel/3/profiler/time : (0.032999999821186066, 0.03336666524410248)
/channel/3/format : ('NTSC',)
/channel/3/timecode/source : ('free',)
/channel/3/timecode : ('02:50:23:20',)
/diag/3/value/produce-time : (0.0,)
/channel/3/stage/profiler/time : (0.0, 0.03336666524410248)
/channel/3/mixer/audio/nb_channels : ()
/channel/3/mixer/audio/1/pFS : (0.0,)
/channel/3/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/3/mixer/audio/2/pFS : (0.0,)
/channel/3/mixer/audio/2/dBFS : (-192.65921020507812,)
/diag/3/value/volume : (0.0,)
/diag/3/value/mix-time : (0.0,)
/channel/3/output/port/500/type : ('system-audio',)
/channel/3/output/port/600/type : ('screen',)
/diag/7/value/tick-time : (0.49450549483299255,)
/diag/5/value/buffered-video : (1.0,)
/diag/5/value/tick-time : (0.49450549483299255,)
/diag/5/value/buffered-audio : (0.7980024814605713,)
/diag/2/value/consume-time : (0.49450549483299255,)
/channel/2/output/consume_time : (0.032999999821186066,)
/channel/2/output/profiler/time : (0.032999999821186066, 0.03336666524410248)
/diag/2/value/tick-time : (0.49450549483299255,)
/channel/2/profiler/time : (0.032999999821186066, 0.03336666524410248)
/channel/2/format : ('1080i5994',)
/channel/2/timecode : ('02:50:23:20',)
/channel/2/timecode/source : ('free',)
/channel/2/stage/layer/0/paused : (False,)
/channel/2/stage/layer/0/profiler/time : (0.0, 0.03336666524410248)
/channel/2/stage/layer/0/transform/tween/duration : ()
/channel/2/stage/layer/0/transform/tween/remaining : ()
/channel/2/stage/layer/0/transform/video/opacity : (1.0,)
/channel/2/stage/layer/0/transform/audio/volume : (1.0,)
/channel/2/stage/layer/0/transform/video/contrast : (1.0,)
/channel/2/stage/layer/0/transform/video/brightness : (1.0,)
/channel/2/stage/layer/0/transform/video/saturation : (1.0,)
/channel/2/stage/profiler/time : (0.0010000000474974513, 0.03336666524410248)
/diag/2/value/produce-time : (0.01498501468449831,)
/channel/2/mixer/audio/nb_channels : ()
/channel/2/mixer/audio/1/pFS : (0.0,)
/channel/2/mixer/audio/1/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/2/pFS : (0.0,)
/channel/2/mixer/audio/2/dBFS : (-192.65921020507812,)
/channel/2/mixer/audio/6/pFS : (0.0,)
/channel/2/mixer/audio/3/pFS : (0.0,)
